Область,Год,Кол-во,Округ
Белгородская_область,2013,156801,Центральный_федеральный_округ
Белгородская_область,2014,171668,Центральный_федеральный_округ
Белгородская_область,2015,151471,Центральный_федеральный_округ
Белгородская_область,2016,233033,Центральный_федеральный_округ
Белгородская_область,2017,272193,Центральный_федеральный_округ
Белгородская_область,2018,301418,Центральный_федеральный_округ
Белгородская_область,2019,313741,Центральный_федеральный_округ
Белгородская_область,2020,208642,Центральный_федеральный_округ
Брянская_область,2013,113056,Центральный_федеральный_округ
Брянская_область,2014,125824,Центральный_федеральный_округ
Брянская_область,2015,139264,Центральный_федеральный_округ
Брянская_область,2016,170861,Центральный_федеральный_округ
Брянская_область,2017,197869,Центральный_федеральный_округ
Брянская_область,2018,223783,Центральный_федеральный_округ
Брянская_область,2019,221142,Центральный_федеральный_округ
Брянская_область,2020,136956,Центральный_федеральный_округ
Владимирская_область,2013,357276,Центральный_федеральный_округ
Владимирская_область,2014,344029,Центральный_федеральный_округ
Владимирская_область,2015,535697,Центральный_федеральный_округ
Владимирская_область,2016,573172,Центральный_федеральный_округ
Владимирская_область,2017,521158,Центральный_федеральный_округ
Владимирская_область,2018,543317,Центральный_федеральный_округ
Владимирская_область,2019,581738,Центральный_федеральный_округ
Владимирская_область,2020,361577,Центральный_федеральный_округ
Воронежская_область,2013,247380,Центральный_федеральный_округ
Воронежская_область,2014,281883,Центральный_федеральный_округ
Воронежская_область,2015,497173,Центральный_федеральный_округ
Воронежская_область,2016,582147,Центральный_федеральный_округ
Воронежская_область,2017,636841,Центральный_федеральный_округ
Воронежская_область,2018,647330,Центральный_федеральный_округ
Воронежская_область,2019,645250,Центральный_федеральный_округ
Воронежская_область,2020,487604,Центральный_федеральный_округ
Ивановская_область,2013,182692,Центральный_федеральный_округ
Ивановская_область,2014,214084,Центральный_федеральный_округ
Ивановская_область,2015,222268,Центральный_федеральный_округ
Ивановская_область,2016,221842,Центральный_федеральный_округ
Ивановская_область,2017,244296,Центральный_федеральный_округ
Ивановская_область,2018,244175,Центральный_федеральный_округ
Ивановская_область,2019,258162,Центральный_федеральный_округ
Ивановская_область,2020,140759,Центральный_федеральный_округ
Калужская_область,2013,319802,Центральный_федеральный_округ
Калужская_область,2014,364022,Центральный_федеральный_округ
Калужская_область,2015,490608,Центральный_федеральный_округ
Калужская_область,2016,434028,Центральный_федеральный_округ
Калужская_область,2017,504686,Центральный_федеральный_округ
Калужская_область,2018,605580,Центральный_федеральный_округ
Калужская_область,2019,570946,Центральный_федеральный_округ
Калужская_область,2020,403383,Центральный_федеральный_округ
Костромская_область,2013,184474,Центральный_федеральный_округ
Костромская_область,2014,170768,Центральный_федеральный_округ
Костромская_область,2015,147013,Центральный_федеральный_округ
Костромская_область,2016,238057,Центральный_федеральный_округ
Костромская_область,2017,264206,Центральный_федеральный_округ
Костромская_область,2018,282822,Центральный_федеральный_округ
Костромская_область,2019,293399,Центральный_федеральный_округ
Костромская_область,2020,270378,Центральный_федеральный_округ
Курская_область,2013,118218,Центральный_федеральный_округ
Курская_область,2014,106655,Центральный_федеральный_округ
Курская_область,2015,187121,Центральный_федеральный_округ
Курская_область,2016,194613,Центральный_федеральный_округ
Курская_область,2017,192472,Центральный_федеральный_округ
Курская_область,2018,186803,Центральный_федеральный_округ
Курская_область,2019,200332,Центральный_федеральный_округ
Курская_область,2020,131619,Центральный_федеральный_округ
Липецкая_область,2013,131758,Центральный_федеральный_округ
Липецкая_область,2014,132240,Центральный_федеральный_округ
Липецкая_область,2015,145296,Центральный_федеральный_округ
Липецкая_область,2016,172367,Центральный_федеральный_округ
Липецкая_область,2017,190754,Центральный_федеральный_округ
Липецкая_область,2018,222811,Центральный_федеральный_округ
Липецкая_область,2019,260569,Центральный_федеральный_округ
Липецкая_область,2020,208200,Центральный_федеральный_округ
Московская_область,2013,2580539,Центральный_федеральный_округ
Московская_область,2014,2448176,Центральный_федеральный_округ
Московская_область,2015,3704624,Центральный_федеральный_округ
Московская_область,2016,3261347,Центральный_федеральный_округ
Московская_область,2017,3184455,Центральный_федеральный_округ
Московская_область,2018,3743773,Центральный_федеральный_округ
Московская_область,2019,4586111,Центральный_федеральный_округ
Московская_область,2020,2906713,Центральный_федеральный_округ
Орловская_область,2013,115229,Центральный_федеральный_округ
Орловская_область,2014,113930,Центральный_федеральный_округ
Орловская_область,2015,103077,Центральный_федеральный_округ
Орловская_область,2016,106027,Центральный_федеральный_округ
Орловская_область,2017,110298,Центральный_федеральный_округ
Орловская_область,2018,122994,Центральный_федеральный_округ
Орловская_область,2019,124656,Центральный_федеральный_округ
Орловская_область,2020,85816,Центральный_федеральный_округ
Рязанская_область,2013,189005,Центральный_федеральный_округ
Рязанская_область,2014,194162,Центральный_федеральный_округ
Рязанская_область,2015,248128,Центральный_федеральный_округ
Рязанская_область,2016,331050,Центральный_федеральный_округ
Рязанская_область,2017,395807,Центральный_федеральный_округ
Рязанская_область,2018,349016,Центральный_федеральный_округ
Рязанская_область,2019,391507,Центральный_федеральный_округ
Рязанская_область,2020,317710,Центральный_федеральный_округ
Смоленская_область,2013,164103,Центральный_федеральный_округ
Смоленская_область,2014,171004,Центральный_федеральный_округ
Смоленская_область,2015,169199,Центральный_федеральный_округ
Смоленская_область,2016,201208,Центральный_федеральный_округ
Смоленская_область,2017,210044,Центральный_федеральный_округ
Смоленская_область,2018,210398,Центральный_федеральный_округ
Смоленская_область,2019,226817,Центральный_федеральный_округ
Смоленская_область,2020,141477,Центральный_федеральный_округ
Тамбовская_область,2013,99045,Центральный_федеральный_округ
Тамбовская_область,2014,109036,Центральный_федеральный_округ
Тамбовская_область,2015,166698,Центральный_федеральный_округ
Тамбовская_область,2016,137625,Центральный_федеральный_округ
Тамбовская_область,2017,170530,Центральный_федеральный_округ
Тамбовская_область,2018,191705,Центральный_федеральный_округ
Тамбовская_область,2019,178621,Центральный_федеральный_округ
Тамбовская_область,2020,122688,Центральный_федеральный_округ
Тверская_область,2013,321588,Центральный_федеральный_округ
Тверская_область,2014,311499,Центральный_федеральный_округ
Тверская_область,2015,352042,Центральный_федеральный_округ
Тверская_область,2016,409095,Центральный_федеральный_округ
Тверская_область,2017,517374,Центральный_федеральный_округ
Тверская_область,2018,531483,Центральный_федеральный_округ
Тверская_область,2019,555510,Центральный_федеральный_округ
Тверская_область,2020,479315,Центральный_федеральный_округ
Тульская_область,2013,208619,Центральный_федеральный_округ
Тульская_область,2014,236478,Центральный_федеральный_округ
Тульская_область,2015,250961,Центральный_федеральный_округ
Тульская_область,2016,297209,Центральный_федеральный_округ
Тульская_область,2017,336459,Центральный_федеральный_округ
Тульская_область,2018,400520,Центральный_федеральный_округ
Тульская_область,2019,458441,Центральный_федеральный_округ
Тульская_область,2020,301158,Центральный_федеральный_округ
Ярославская_область,2013,381601,Центральный_федеральный_округ
Ярославская_область,2014,396524,Центральный_федеральный_округ
Ярославская_область,2015,633984,Центральный_федеральный_округ
Ярославская_область,2016,621574,Центральный_федеральный_округ
Ярославская_область,2017,709543,Центральный_федеральный_округ
Ярославская_область,2018,716852,Центральный_федеральный_округ
Ярославская_область,2019,819564,Центральный_федеральный_округ
Ярославская_область,2020,592246,Центральный_федеральный_округ
Город_Москва_столица_Российской_Федерации_город_федерального_значения,2013,3547083,Центральный_федеральный_округ
Город_Москва_столица_Российской_Федерации_город_федерального_значения,2014,3768943,Центральный_федеральный_округ
Город_Москва_столица_Российской_Федерации_город_федерального_значения,2015,3776752,Центральный_федеральный_округ
Город_Москва_столица_Российской_Федерации_город_федерального_значения,2016,7043836,Центральный_федеральный_округ
Город_Москва_столица_Российской_Федерации_город_федерального_значения,2017,7611660,Центральный_федеральный_округ
Город_Москва_столица_Российской_Федерации_город_федерального_значения,2018,9682050,Центральный_федеральный_округ
Город_Москва_столица_Российской_Федерации_город_федерального_значения,2019,10388303,Центральный_федеральный_округ
Город_Москва_столица_Российской_Федерации_город_федерального_значения,2020,6232571,Центральный_федеральный_округ
Республика_Башкортостан,2013,864008,Приволжский_федеральный_округ
Республика_Башкортостан,2014,808038,Приволжский_федеральный_округ
Республика_Башкортостан,2015,843985,Приволжский_федеральный_округ
Республика_Башкортостан,2016,988686,Приволжский_федеральный_округ
Республика_Башкортостан,2017,1087550,Приволжский_федеральный_округ
Республика_Башкортостан,2018,1145057,Приволжский_федеральный_округ
Республика_Башкортостан,2019,1239294,Приволжский_федеральный_округ
Республика_Башкортостан,2020,884279,Приволжский_федеральный_округ
Республика_Марий_Эл,2013,100859,Приволжский_федеральный_округ
Республика_Марий_Эл,2014,88486,Приволжский_федеральный_округ
Республика_Марий_Эл,2015,109511,Приволжский_федеральный_округ
Республика_Марий_Эл,2016,123635,Приволжский_федеральный_округ
Республика_Марий_Эл,2017,125068,Приволжский_федеральный_округ
Республика_Марий_Эл,2018,134411,Приволжский_федеральный_округ
Республика_Марий_Эл,2019,138398,Приволжский_федеральный_округ
Республика_Марий_Эл,2020,78101,Приволжский_федеральный_округ
Республика_Мордовия,2013,91878,Приволжский_федеральный_округ
Республика_Мордовия,2014,95001,Приволжский_федеральный_округ
Республика_Мордовия,2015,98683,Приволжский_федеральный_округ
Республика_Мордовия,2016,99537,Приволжский_федеральный_округ
Республика_Мордовия,2017,113743,Приволжский_федеральный_округ
Республика_Мордовия,2018,126277,Приволжский_федеральный_округ
Республика_Мордовия,2019,146667,Приволжский_федеральный_округ
Республика_Мордовия,2020,80917,Приволжский_федеральный_округ
Республика_Татарстан_(Татарстан),2013,1271662,Приволжский_федеральный_округ
Республика_Татарстан_(Татарстан),2014,1256589,Приволжский_федеральный_округ
Республика_Татарстан_(Татарстан),2015,1680475,Приволжский_федеральный_округ
Республика_Татарстан_(Татарстан),2016,1796459,Приволжский_федеральный_округ
Республика_Татарстан_(Татарстан),2017,2007077,Приволжский_федеральный_округ
Республика_Татарстан_(Татарстан),2018,2117233,Приволжский_федеральный_округ
Республика_Татарстан_(Татарстан),2019,2228082,Приволжский_федеральный_округ
Республика_Татарстан_(Татарстан),2020,1423917,Приволжский_федеральный_округ
Удмуртская_Республика,2013,260810,Приволжский_федеральный_округ
Удмуртская_Республика,2014,254353,Приволжский_федеральный_округ
Удмуртская_Республика,2015,258995,Приволжский_федеральный_округ
Удмуртская_Республика,2016,263309,Приволжский_федеральный_округ
Удмуртская_Республика,2017,280184,Приволжский_федеральный_округ
Удмуртская_Республика,2018,351240,Приволжский_федеральный_округ
Удмуртская_Республика,2019,402614,Приволжский_федеральный_округ
Удмуртская_Республика,2020,269113,Приволжский_федеральный_округ
Чувашская_Республика_-_Чувашия,2013,202368,Приволжский_федеральный_округ
Чувашская_Республика_-_Чувашия,2014,193239,Приволжский_федеральный_округ
Чувашская_Республика_-_Чувашия,2015,231376,Приволжский_федеральный_округ
Чувашская_Республика_-_Чувашия,2016,262471,Приволжский_федеральный_округ
Чувашская_Республика_-_Чувашия,2017,274941,Приволжский_федеральный_округ
Чувашская_Республика_-_Чувашия,2018,268960,Приволжский_федеральный_округ
Чувашская_Республика_-_Чувашия,2019,300574,Приволжский_федеральный_округ
Чувашская_Республика_-_Чувашия,2020,186583,Приволжский_федеральный_округ
Пермский_край,2013,481622,Приволжский_федеральный_округ
Пермский_край,2014,435955,Приволжский_федеральный_округ
Пермский_край,2015,614237,Приволжский_федеральный_округ
Пермский_край,2016,642463,Приволжский_федеральный_округ
Пермский_край,2017,637322,Приволжский_федеральный_округ
Пермский_край,2018,710633,Приволжский_федеральный_округ
Пермский_край,2019,736528,Приволжский_федеральный_округ
Пермский_край,2020,479441,Приволжский_федеральный_округ
Кировская_область,2013,205141,Приволжский_федеральный_округ
Кировская_область,2014,204661,Приволжский_федеральный_округ
Кировская_область,2015,244637,Приволжский_федеральный_округ
Кировская_область,2016,294479,Приволжский_федеральный_округ
Кировская_область,2017,280497,Приволжский_федеральный_округ
Кировская_область,2018,305326,Приволжский_федеральный_округ
Кировская_область,2019,314038,Приволжский_федеральный_округ
Кировская_область,2020,212275,Приволжский_федеральный_округ
Нижегородская_область,2013,712278,Приволжский_федеральный_округ
Нижегородская_область,2014,766299,Приволжский_федеральный_округ
Нижегородская_область,2015,1047010,Приволжский_федеральный_округ
Нижегородская_область,2016,942691,Приволжский_федеральный_округ
Нижегородская_область,2017,1026716,Приволжский_федеральный_округ
Нижегородская_область,2018,1089925,Приволжский_федеральный_округ
Нижегородская_область,2019,1202659,Приволжский_федеральный_округ
Нижегородская_область,2020,736713,Приволжский_федеральный_округ
Оренбургская_область,2013,373368,Приволжский_федеральный_округ
Оренбургская_область,2014,320941,Приволжский_федеральный_округ
Оренбургская_область,2015,357550,Приволжский_федеральный_округ
Оренбургская_область,2016,330197,Приволжский_федеральный_округ
Оренбургская_область,2017,358875,Приволжский_федеральный_округ
Оренбургская_область,2018,359477,Приволжский_федеральный_округ
Оренбургская_область,2019,391068,Приволжский_федеральный_округ
Оренбургская_область,2020,233121,Приволжский_федеральный_округ
Пензенская_область,2013,140434,Приволжский_федеральный_округ
Пензенская_область,2014,141116,Приволжский_федеральный_округ
Пензенская_область,2015,132274,Приволжский_федеральный_округ
Пензенская_область,2016,196050,Приволжский_федеральный_округ
Пензенская_область,2017,209347,Приволжский_федеральный_округ
Пензенская_область,2018,199857,Приволжский_федеральный_округ
Пензенская_область,2019,287954,Приволжский_федеральный_округ
Пензенская_область,2020,192225,Приволжский_федеральный_округ
Самарская_область,2013,640923,Приволжский_федеральный_округ
Самарская_область,2014,584977,Приволжский_федеральный_округ
Самарская_область,2015,621605,Приволжский_федеральный_округ
Самарская_область,2016,662449,Приволжский_федеральный_округ
Самарская_область,2017,840160,Приволжский_федеральный_округ
Самарская_область,2018,921230,Приволжский_федеральный_округ
Самарская_область,2019,969706,Приволжский_федеральный_округ
Самарская_область,2020,707173,Приволжский_федеральный_округ
Саратовская_область,2013,299709,Приволжский_федеральный_округ
Саратовская_область,2014,303813,Приволжский_федеральный_округ
Саратовская_область,2015,321642,Приволжский_федеральный_округ
Саратовская_область,2016,327174,Приволжский_федеральный_округ
Саратовская_область,2017,427594,Приволжский_федеральный_округ
Саратовская_область,2018,390622,Приволжский_федеральный_округ
Саратовская_область,2019,475744,Приволжский_федеральный_округ
Саратовская_область,2020,346214,Приволжский_федеральный_округ
Ульяновская_область,2013,205842,Приволжский_федеральный_округ
Ульяновская_область,2014,253636,Приволжский_федеральный_округ
Ульяновская_область,2015,215088,Приволжский_федеральный_округ
Ульяновская_область,2016,236821,Приволжский_федеральный_округ
Ульяновская_область,2017,306258,Приволжский_федеральный_округ
Ульяновская_область,2018,346141,Приволжский_федеральный_округ
Ульяновская_область,2019,386906,Приволжский_федеральный_округ
Ульяновская_область,2020,274385,Приволжский_федеральный_округ
Республика_Бурятия,2013,356151,Дальневосточный_федеральный_округ
Республика_Бурятия,2014,279058,Дальневосточный_федеральный_округ
Республика_Бурятия,2015,286285,Дальневосточный_федеральный_округ
Республика_Бурятия,2016,293846,Дальневосточный_федеральный_округ
Республика_Бурятия,2017,344831,Дальневосточный_федеральный_округ
Республика_Бурятия,2018,331290,Дальневосточный_федеральный_округ
Республика_Бурятия,2019,357694,Дальневосточный_федеральный_округ
Республика_Бурятия,2020,273183,Дальневосточный_федеральный_округ
Забайкальский_край,2013,238113,Дальневосточный_федеральный_округ
Забайкальский_край,2014,213591,Дальневосточный_федеральный_округ
Забайкальский_край,2015,191154,Дальневосточный_федеральный_округ
Забайкальский_край,2016,190973,Дальневосточный_федеральный_округ
Забайкальский_край,2017,196331,Дальневосточный_федеральный_округ
Забайкальский_край,2018,207514,Дальневосточный_федеральный_округ
Забайкальский_край,2019,238684,Дальневосточный_федеральный_округ
Забайкальский_край,2020,197675,Дальневосточный_федеральный_округ
Республика_Саха_(Якутия),2013,142061,Дальневосточный_федеральный_округ
Республика_Саха_(Якутия),2014,138455,Дальневосточный_федеральный_округ
Республика_Саха_(Якутия),2015,184429,Дальневосточный_федеральный_округ
Республика_Саха_(Якутия),2016,172717,Дальневосточный_федеральный_округ
Республика_Саха_(Якутия),2017,185919,Дальневосточный_федеральный_округ
Республика_Саха_(Якутия),2018,190123,Дальневосточный_федеральный_округ
Республика_Саха_(Якутия),2019,194039,Дальневосточный_федеральный_округ
Республика_Саха_(Якутия),2020,112309,Дальневосточный_федеральный_округ
Камчатский_край,2013,70468,Дальневосточный_федеральный_округ
Камчатский_край,2014,72966,Дальневосточный_федеральный_округ
Камчатский_край,2015,119869,Дальневосточный_федеральный_округ
Камчатский_край,2016,110376,Дальневосточный_федеральный_округ
Камчатский_край,2017,137475,Дальневосточный_федеральный_округ
Камчатский_край,2018,150017,Дальневосточный_федеральный_округ
Камчатский_край,2019,152574,Дальневосточный_федеральный_округ
Камчатский_край,2020,115956,Дальневосточный_федеральный_округ
Приморский_край,2013,496425,Дальневосточный_федеральный_округ
Приморский_край,2014,488305,Дальневосточный_федеральный_округ
Приморский_край,2015,813511,Дальневосточный_федеральный_округ
Приморский_край,2016,647010,Дальневосточный_федеральный_округ
Приморский_край,2017,807779,Дальневосточный_федеральный_округ
Приморский_край,2018,823640,Дальневосточный_федеральный_округ
Приморский_край,2019,925975,Дальневосточный_федеральный_округ
Приморский_край,2020,604055,Дальневосточный_федеральный_округ
Хабаровский_край,2013,384616,Дальневосточный_федеральный_округ
Хабаровский_край,2014,377369,Дальневосточный_федеральный_округ
Хабаровский_край,2015,458768,Дальневосточный_федеральный_округ
Хабаровский_край,2016,541830,Дальневосточный_федеральный_округ
Хабаровский_край,2017,537008,Дальневосточный_федеральный_округ
Хабаровский_край,2018,541450,Дальневосточный_федеральный_округ
Хабаровский_край,2019,571017,Дальневосточный_федеральный_округ
Хабаровский_край,2020,426116,Дальневосточный_федеральный_округ
Амурская_область,2013,249787,Дальневосточный_федеральный_округ
Амурская_область,2014,240721,Дальневосточный_федеральный_округ
Амурская_область,2015,217340,Дальневосточный_федеральный_округ
Амурская_область,2016,280753,Дальневосточный_федеральный_округ
Амурская_область,2017,329522,Дальневосточный_федеральный_округ
Амурская_область,2018,307593,Дальневосточный_федеральный_округ
Амурская_область,2019,309940,Дальневосточный_федеральный_округ
Амурская_область,2020,244300,Дальневосточный_федеральный_округ
Магаданская_область,2013,56264,Дальневосточный_федеральный_округ
Магаданская_область,2014,49493,Дальневосточный_федеральный_округ
Магаданская_область,2015,62495,Дальневосточный_федеральный_округ
Магаданская_область,2016,70395,Дальневосточный_федеральный_округ
Магаданская_область,2017,61591,Дальневосточный_федеральный_округ
Магаданская_область,2018,57192,Дальневосточный_федеральный_округ
Магаданская_область,2019,67293,Дальневосточный_федеральный_округ
Магаданская_область,2020,61126,Дальневосточный_федеральный_округ
Сахалинская_область,2013,159776,Дальневосточный_федеральный_округ
Сахалинская_область,2014,121254,Дальневосточный_федеральный_округ
Сахалинская_область,2015,133877,Дальневосточный_федеральный_округ
Сахалинская_область,2016,162501,Дальневосточный_федеральный_округ
Сахалинская_область,2017,246123,Дальневосточный_федеральный_округ
Сахалинская_область,2018,203009,Дальневосточный_федеральный_округ
Сахалинская_область,2019,228409,Дальневосточный_федеральный_округ
Сахалинская_область,2020,188127,Дальневосточный_федеральный_округ
